Trials/Threads,1,2,3,4,5,6,7,8,9,10
1,0.110390902,0.080569744,0.083305597,0.038160801,0.01694417,0.048861504,0.029629469,0.020284414,0.017946005,0.036011457
2,0.075857163,0.084857225,0.062416077,0.043537855,0.02893734,0.052423,0.037488222,0.012771845,0.030102491,0.012362242
3,0.096545219,0.139542103,0.052944899,0.05413723,0.049511671,0.016727924,0.035176277,0.011071205,0.044483662,0.026857853
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
Run 1,9.648,5.322,4.584,4.29,5.795,5.613,5.001,3.517,4.163,3.243
Run 2,8.037,6.939,5.868,4.975,5.744,5.682,4.568,3.909,4.969,4.881
Run 3,10.132,6.176,4.848,3.827,4.163,5.212,4.124,5.072,4.8,4.278
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BufferSize/ Threads,1,2,3,4,5,6,7,8,9,10
2048,6.094,8.537,2.704,2.481,3.327,3.082,2.81,3.648,2.95,2.816
4096,3.149,1.794,1.171,1.344,1.871,1.561,2.4,1.234,1.846,2.87
8192,1.764,1.661,0.762,0.648,0.641,0.856,0.677,0.75,10.651,29.607
